"id","team","wiki","region","country","track","kind","section","application","year"
3382,"HK_CPU-WFN-WYY","https://2020.igem.org/Team:HK_CPU-WFN-WYY","asia","HKG","High School","high-school","high-school","accepted",2020
3414,"HK_HCY","https://2020.igem.org/Team:HK_HCY","asia","HKG","High School","high-school","high-school","accepted",2020
3561,"HK_SSC","https://2020.igem.org/Team:HK_SSC","asia","HKG","High School","high-school","high-school","accepted",2020
3581,"HKUST","https://2020.igem.org/Team:HKUST","asia","HKG","Manufacturing","collegiate","undergrad","accepted",2020
3511,"Hong_Kong_CityU","https://2020.igem.org/Team:Hong_Kong_CityU","asia","HKG","Environment","collegiate","undergrad","accepted",2020
3644,"Hong_Kong_HKU","https://2020.igem.org/Team:Hong_Kong_HKU","asia","HKG","Foundational Advance","collegiate","undergrad","accepted",2020
3469,"Hong_Kong_JSS","https://2020.igem.org/Team:Hong_Kong_JSS","asia","HKG","High School","high-school","high-school","deleted",2020
3574,"Hong_Kong_JSS2","https://2020.igem.org/Team:Hong_Kong_JSS2","asia","HKG","High School","high-school","high-school","deleted",2020
3449,"HongKong_PuiChing","https://2020.igem.org/Team:HongKong_PuiChing","asia","HKG",,"collegiate","collegiate","deleted",2020
3383,"HUST-China","https://2020.igem.org/Team:HUST-China","asia","CHN",,"collegiate","collegiate","deleted",2020
3530,"Hz14z-Transbalance","https://2020.igem.org/Team:Hz14z-Transbalance","asia","CHN",,"collegiate","collegiate","deleted",2020
3378,"HZAU-China","https://2020.igem.org/Team:HZAU-China","asia","CHN","New Application","collegiate","undergrad","accepted",2020
3538,"HZC-TB","https://2020.igem.org/Team:HZC-TB","asia","CHN","High School","high-school","high-school","deleted",2020
3543,"HZFTZ_China","https://2020.igem.org/Team:HZFTZ_China","asia","CHN","High School","high-school","high-school","deleted",2020
3547,"HZNFHS","https://2020.igem.org/Team:HZNFHS","asia","CHN","High School","high-school","high-school","deleted",2020
